Unnamed: 0,country,text,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
77718,Australia,"Possibly a little sweet, this is a soft, easygoing Chardonnay marked by clean, modest pear and melon flavors.",,83,5.0,Australia Other,South Eastern Australia,,Joe Czerwinski,@JoeCz,Banrock Station 2006 Chardonnay (South Eastern Australia),Chardonnay,Banrock Station
67681,France,"A soft, almost off dry wine that is full in the mouth. It has caramel and spice flavors as well as light acidity. The wine feels weighty and definitely needs food.",Réserve,85,12.0,Rhône Valley,Côtes du Rhône,,Roger Voss,@vossroger,Cellier des Dauphins 2015 Réserve Rosé (Côtes du Rhône),Rosé,Cellier des Dauphins
69877,Spain,"Generic white-fruit aromas of peach and apple are slightly pithy. This feels good but innocuous, while flavors of apple and stone fruits lose some of their snap and directness on a tropical-tasting finish.",Estate Grown & Bottled,86,9.0,Northern Spain,Rueda,,Michael Schachner,@wineschach,Esperanza 2013 Estate Grown & Bottled Verdejo-Viura (Rueda),Verdejo-Viura,Esperanza
46544,US,"This is the winery's best Nebula in years. While it's still a little on the soft, sweet side, the cool vintage has resonated in the wine's flavor, giving it a good structure housing cherry, currant and sandalwood flavors. Drink now.",Nebula,87,29.0,California,Paso Robles,Central Coast,,,Midnight 2010 Nebula Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Midnight
186,US,"This is a very rich Pinot whose primary virtue is fruit. It just explodes with delicious cherry jam, red currant, licorice and mocha flavors. Dry and crisply acidic, it's a beautiful wine for early drinking.",Wiley Vineyard,88,40.0,California,Anderson Valley,,,,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Harrington
73126,US,"An unabashedly rich and luscious wine, this combines ripe and fresh fruit flavors with luxurious spicy, buttery accents and an almost thick texture. With a subtext as savory as Udon broth it's practically a meal in a bottle. Call it full-bodied, full-flavored, ultrasmooth and impressive.",,90,22.0,California,Sonoma County-Monterey County-Santa Barbara County,California Other,Jim Gordon,@gordone_cellars,Meiomi 2013 Chardonnay (Sonoma County-Monterey County-Santa Barbara County),Chardonnay,Meiomi
26800,US,"This opens with a pleasing toasty aroma, following through on the palate. That deft touch of French oak (33% new) frames a solid core of strawberry preserves and Bing cherry fruit. It resonates on through a stylish, textural finish. Enjoy this immediately, and tuck away a few bottles to drink in five years.",Five Faces,90,33.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Fullerton 2014 Five Faces Pinot Noir (Willamette Valley),Pinot Noir,Fullerton
80832,Italy,"Made with 100% Chardonnay, this creamy sparkler opens with aromas of hawthorn, peach and a whiff of bread crust. The palate reveals candied nectarine zest and golden apple alongside a soft perlage. It ends on a note of white almond.",Saten,89,35.0,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Lantieri de Paratico NV Saten Chardonnay (Franciacorta),Chardonnay,Lantieri de Paratico
86297,US,"Here's a good, everyday Cab if you're looking for a bargain. It's dry, tannic and earthy, with suggestions of currants and oak.",,84,10.0,California,Central Coast,Central Coast,,,Cupcake 2005 Cabernet Sauvignon (Central Coast),Cabernet Sauvignon,Cupcake
56015,France,"Made from low-yielding, 70-year-old vines, this is a dense wine with an almost-dark structure and ripe red-plum flavors. Powerful, it obviously will be better with food and could even benefit from decanting before drinking. Age this concentrated wine until late 2016.",Clos du Château,92,21.0,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine du Clos Gautier 2015 Clos du Château Rosé (Côtes de Provence),Rosé,Domaine du Clos Gautier
78536,US,"Amidst cola and sassafras on the nose, there's a bit of rotting cherry funk and some compost pile aromas to this intriguing single-vineyard Syrah from the Los Alamos area. The little bit of cherry sweetness on the palate gets more serious with chopped herbs, tobacco and cedar.",White Hawk Vineyard,89,38.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Deep Sea 2011 White Hawk Vineyard Syrah (Santa Barbara County),Syrah,Deep Sea
